Distance,fA,fB,fAB
150815,0.690499,0.0785154,4.00826e-05
521794,0.690499,0.120865,0.0335368
300506,0.690499,0.0148006,1.27981e-06
602469,0.690499,1.0,0.690499
298969,0.690499,0.865008,0.690416
20953,0.690499,0.922348,0.690498
199475,0.690499,1.0,0.690499
101966,0.690499,1.0,0.690499
522638,0.690499,0.120864,0.0335356
698051,0.690499,1.0,0.690499
412726,0.690499,1.0,0.690499
242722,0.690499,0.183272,0.000536379
447556,0.690499,1.0,0.690499
307175,0.690499,0.850193,0.690416
601848,0.690499,1.0,0.690499
369242,0.690499,1.0,0.690499
370979,0.0785154,0.120865,0.0581271
149691,0.0785154,0.0148006,0.0125784
451654,0.0785154,1.0,0.0785154
148154,0.0785154,0.865008,0.0140203
129862,0.0785154,0.922348,0.0013
48660,0.0785154,1.0,0.0785154
252781,0.0785154,1.0,0.0785154
371823,0.0785154,0.120864,0.0581273
547236,0.0785154,1.0,0.0785154
261911,0.0785154,1.0,0.0785154
393537,0.0785154,0.183272,0.000430977
296741,0.0785154,1.0,0.0785154
156360,0.0785154,0.850193,0.00143878
451033,0.0785154,1.0,0.0785154
218427,0.0785154,1.0,0.0785154
221288,0.120865,0.0148006,0.000202889
80675,0.120865,1.0,0.120865
222825,0.120865,0.865008,0.0342717
500841,0.120865,0.922348,0.0632121
322319,0.120865,1.0,0.120865
623760,0.120865,1.0,0.120865
844,0.120865,0.120864,0.120863
176257,0.120865,1.0,0.120865
109068,0.120865,1.0,0.120865
764516,0.120865,0.183272,0.000491773
74238,0.120865,1.0,0.120865
214619,0.120865,0.850193,0.0340681
80054,0.120865,1.0,0.120865
152552,0.120865,1.0,0.120865
301963,0.0148006,1.0,0.0148005
1537,0.0148006,0.865008,0.0148001
279553,0.0148006,0.922348,0.00198809
101031,0.0148006,1.0,0.0148006
402472,0.0148006,1.0,0.0148006
222132,0.0148006,0.120864,0.000203048
397545,0.0148006,1.0,0.0148006
112220,0.0148006,1.0,0.0148006
543228,0.0148006,0.183272,8.90337e-06
147050,0.0148006,1.0,0.0148006
6669,0.0148006,0.850193,1.22221e-06
301342,0.0148006,1.0,0.0148005
68736,0.0148006,1.0,0.0148006
303500,1.0,0.865008,0.865008
581516,1.0,0.922348,0.922348
402994,1.0,1.0,1.0
704435,1.0,1.0,1.0
