Distance,fA,fB,fAB
643877,1,1,1
882368,1,0.0190638,0.0190638
527700,1,0.046193,0.046193
599127,1,0.0287258,0.0287258
203166,1,0.0100872,0.0100872
607056,1,0.0201028,0.0201028
473365,1,0.502195,0.502195
400012,1,0.0557654,0.0557654
265525,1,0.0115595,0.0115595
694010,1,0.0109089,0.0109089
415000,1,0.0513548,0.0513548
775561,1,0.0556711,0.0556711
195747,1,0.869075,0.869075
144075,1,0.999929,0.999929
83196,1,0.0105214,0.0105214
501584,1,1,1
811523,1,0.0142688,0.0142688
148852,1,0.0132527,0.0132527
518604,1,0.0217936,0.0217936
198231,1,0.0129647,0.0129647
670215,1,0.0103961,0.0103961
661905,1,1,1
661594,1,0.0200475,0.0200475
8657,1,0.0115154,0.0115154
861517,1,0.869086,0.869086
799242,1,0.0137476,0.0137476
430953,1,0.0102548,0.0102548
104571,1,0.0205804,0.0205804
448492,1,0.999626,0.999626
10205,1,0.109825,0.109825
843714,1,0.0171535,0.0171535
792539,1,0.0477267,0.0477267
77832,1,0.0115634,0.0115634
436625,1,0.0517397,0.0517397
334750,1,0.0109125,0.0109125
573616,1,0.0511343,0.0511343
203117,1,1,1
35374,1,0.0190638,0.0190638
319294,1,0.046193,0.046193
247867,1,0.0287258,0.0287258
643828,1,0.0100872,0.0100872
239938,1,0.0201028,0.0201028
373629,1,0.502195,0.502195
446982,1,0.0557654,0.0557654
428485,0.0115595,0.0109089,0
149475,0.0115595,0.0513548,0
510036,0.0115595,0.0556711,0
69778,0.0115595,0.869075,7.57507e-07
121450,0.0115595,0.999929,0.0115595
348721,0.0115595,0.0105214,0
236059,0.0115595,1,0.0115595
545998,0.0115595,0.0142688,0
116673,0.0115595,0.0132527,0
253079,0.0115595,0.0217936,2.00002e-10
67294,0.0115595,0.0129647,0
404690,0.0115595,0.0103961,0
396380,0.0115595,1,0.0115595
396069,0.0115595,0.0200475,0
256868,0.0115595,0.0115154,0.011515
595992,0.0115595,0.869086,7.57307e-07
533717,0.0115595,0.0137476,0
165428,0.0115595,0.0102548,0
370096,0.0115595,0.0205804,0
182967,0.0115595,0.999626,0.0115595
255320,0.0115595,0.109825,1.80002e-09
578189,0.0115595,0.0171535,4.70004e-09
527014,0.0115595,0.0477267,2.00002e-09
187693,0.0115595,0.0115634,0.0115587
171100,0.0115595,0.0517397,5.70005e-09
69225,0.0115595,0.0109125,0
308091,0.0115595,0.0511343,2.00002e-10
62408,0.0115595,1,0.0115595
300899,0.0115595,0.0190638,0
53769,0.0115595,0.046193,0
