Distance,fA,fB,fAB
417506,0.0204828,1.0,0.0204823
233459,0.0204828,0.0506954,0.000764774
401966,0.0204828,0.584678,0.00477658
451060,0.0204828,0.0157333,1.40586e-05
75580,0.0204828,0.0166749,1.72506e-05
417849,0.0204828,0.107243,0.00116203
121034,0.0204828,0.999959,0.0204828
128606,0.0204828,0.0489987,0.000535285
77276,0.0204828,0.99938,0.0200941
342494,0.0204828,0.929128,0.0109541
70785,0.0204828,0.0782034,2.97165e-05
223629,0.0204828,0.0241658,0.00951459
471425,0.0204828,0.999373,0.0198562
67674,0.0204828,0.0770121,2.95093e-05
101596,0.0204828,0.0405298,3.65565e-06
442736,0.0204828,0.990465,0.0113312
453891,0.0204828,0.0157344,1.40667e-05
30608,0.0204828,0.0406417,1.61275e-05
86829,0.0204828,0.0416039,0.000240238
174421,0.0204828,0.01087,0.00951741
82371,0.0204828,0.973928,0.0168138
463556,0.0204828,0.0221518,2.49883e-06
68024,0.0204828,0.0166578,1.72466e-05
479026,0.0204828,0.0128758,2.48003e-08
130086,0.0204828,0.0489975,0.000535296
411133,0.0204828,0.723067,0.0137775
552004,0.0390232,1.0,0.0390232
98961,0.0390232,0.0506954,9.07393e-05
536464,0.0390232,0.584678,8.21901e-06
316562,0.0390232,0.0157333,8.94012e-08
58918,0.0390232,0.0166749,8.94212e-07
552347,0.0390232,0.107243,2.26623e-06
13464,0.0390232,0.999959,0.0390226
263104,0.0390232,0.0489987,1.02431e-06
211774,0.0390232,0.99938,0.0388023
476992,0.0390232,0.929128,0.000332058
205283,0.0390232,0.0782034,4.87097e-06
358127,0.0390232,0.0241658,1.44082e-06
605923,0.0390232,0.999373,0.0390226
202172,0.0390232,0.0770121,3.29295e-06
32902,0.0390232,0.0405298,0.0387919
577234,0.0390232,0.990465,0.0390215
319393,0.0390232,0.0157344,8.12011e-08
103890,0.0390232,0.0406417,0.0387944
47669,0.0390232,0.0416039,1.07298e-05
39923,0.0390232,0.01087,1.47242e-06
216869,0.0390232,0.973928,0.038801
598054,0.0390232,0.0221518,3.38505e-07
66474,0.0390232,0.0166578,8.92312e-07
613524,0.0390232,0.0128758,3.05004e-08
264584,0.0390232,0.0489975,9.82214e-07
545631,0.0390232,0.723067,0.0388042
650965,1.0,0.0506954,0.0506954
15540,1.0,0.584678,0.584678
868566,1.0,0.0157333,0.0157333
493086,1.0,0.0166749,0.0166749
343,1.0,0.107243,0.107243
538540,1.0,0.999959,0.999958
288900,1.0,0.0489987,0.0489987
340230,1.0,0.99938,0.999379
75012,1.0,0.929128,0.929128
346721,1.0,0.0782034,0.0782034
193877,1.0,0.0241658,0.0241653
53919,1.0,0.999373,0.999373
349832,1.0,0.0770121,0.0770121
519102,1.0,0.0405298,0.0405298
25230,1.0,0.990465,0.990465
871397,1.0,0.0157344,0.0157344
448114,1.0,0.0406417,0.0406417
504335,1.0,0.0416039,0.0416039
591927,1.0,0.01087,0.0108695
335135,1.0,0.973928,0.973927
46050,1.0,0.0221518,0.0221518
485530,1.0,0.0166578,0.0166578
61520,1.0,0.0128758,0.0128758
287420,1.0,0.0489975,0.0489975
6373,1.0,0.723067,0.723067
635425,0.0506954,0.584678,0.000188781
217601,0.0506954,0.0157333,0.00886963
157879,0.0506954,0.0166749,1.75442e-06
651308,0.0506954,0.107243,0.000119717
112425,0.0506954,0.999959,0.0506954
362065,0.0506954,0.0489987,0.000446797
310735,0.0506954,0.99938,0.0506953
575953,0.0506954,0.929128,0.0506895
304244,0.0506954,0.0782034,0.000585957
457088,0.0506954,0.0241658,0.000262404
704884,0.0506954,0.999373,0.0506954
301133,0.0506954,0.0770121,5.48372e-05
131863,0.0506954,0.0405298,4.01496e-06
676195,0.0506954,0.990465,0.0506949
220432,0.0506954,0.0157344,0.00886959
202851,0.0506954,0.0406417,5.90858e-06
146630,0.0506954,0.0416039,1.92993e-05
59038,0.0506954,0.01087,0.00062506
315830,0.0506954,0.973928,0.0506928
697015,0.0506954,0.0221518,2.43873e-06
165435,0.0506954,0.0166578,1.81263e-06
712485,0.0506954,0.0128758,1.73302e-07
363545,0.0506954,0.0489975,0.000446856
644592,0.0506954,0.723067,0.000804114
853026,0.584678,0.0157333,5.33827e-06
477546,0.584678,0.0166749,8.62072e-06
15883,0.584678,0.107243,0.0223282
523000,0.584678,0.999959,0.584678
